https://w3id.org/okn/o/sd#SoftwareConfiguration,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasInput,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sd#hasSoftwareImage,https://w3id.org/okn/o/sd#hasImplementationScriptLocation,https://w3id.org/okn/o/sd#hasSupportScriptLocation,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasConstraint,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sd#compatibleVisualizationSoftware,https://w3id.org/okn/o/sd#hasSampleExecution,https://w3id.org/okn/o/sd#hasSampleResult
cycles_to_crop_fertilizer_multiple_points,Cycles to economic model configuration for multiple points,Transformation step to adapt the output from Cycles to economic configuration for one year only. Multiple points,cycles_to_crop_cycles_season;cycles_to_crop_seasonConfig,cycles_to_crop_yield,cycles_to_crop_start-date,,,,,mintproject/base-ubuntu18:latest,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop_fertilizer_multiple_points/run,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop/Cycles-to-crop.py;https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop/io.sh,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop_fertilizer_multiple_points/cycles_to_crop_fertilizer_multiple_points.zip,,,,,,,,,,,,,,,,,
cycles_to_crop,Cycles to economic model configuration,Transformation step to adapt the output from Cycles to economic configuration for one year only,cycles_to_crop_cycles_season;cycles_to_crop_seasonConfig,cycles_to_crop_yield,cycles_to_crop_start-date,,,,,mintproject/base-ubuntu18:latest,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop/run,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop/Cycles-to-crop.py;https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop/io.sh,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/cycles_to_crop/cycles_to_crop.zip,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic_to_vis,Economic to visualization configuration,Component to visualize the results from the economy model,economic_to_vis_land-use,economic_to_vis_crop,economic_to_vis_start_date;economic_to_vis_region_name,,,,,mintproject/base-ubuntu18:latest,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/economic_to_vis/run,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/economic_to_vis/economic_to_vis.zip,,,,,,,,,,,,,,,,,
pihm_to_cycles_reinit,PIHM to Cycles reinit file configuration,Transformation between PIHM and Cycles to create Cycles reinit file,pihm_to_cycles_reinit_cropland;pihm_to_cycles_reinit_groundwater;pihm_to_cycles_reinit_infiltration,pihm_to_cycles_reinit_reinit,,,,,,mintproject/pihm2cycles:1.1,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_to_cycles_reinit/run,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_to_cycles_reinit/pihm_to_cycles_reinit.zip,,,,,,,,,,,,,,,,,
pihm_forcing_to_cycles_weather,PIHM to Cycles weather file transformation configuration,Transformation step to adapt the output from PIHM to cycles weather files,pihm_forcing_to_cycles_weather_forc;pihm_forcing_to_cycles_weather_att;pihm_forcing_to_cycles_weather_cropland,pihm_forcing_to_cycles_weather_cycles-weather,,,,,,mintproject/base-ubuntu18:latest,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_forcing_to_cycles_weather/run,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_forcing_to_cycles_weather/pihm_forcing_to_cycles_weather.zip,,,,,,,,,,,,,,,,,
pihm_to_cycles_soil,PIHM to Cycles soil file transformation configuration,Transformation step to adapt the output from PIHM to cycles soil file,pihm_to_cycles_soil_cropland;pihm_to_cycles_soil_modelInfo;pihm_to_cycles_soil_gis_soil,pihm_to_cycles_soil_soil,,,,,,mintproject/pihm2cycles:1.1,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_to_cycles_soil/run,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_to_cycles_soil/pihm_to_cycles_soil.zip,,,,,,,,,,,,,,,,,
pihm_cropland_to_points,PIHM cropland to points,Transformation of cropland to points,pihm_cropland_to_points_pihm-croplands,pihm_cropland_to_points_pihm-cropland,pihm_cropland_to_points_num-points,,,,,,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_cropland_to_points/run,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_cropland_to_points/pihm_cropland_to_points.zip,,,,,,,,,,,,,,,,,
pihm_cropland,PIHM to Cycles transformation for crop lands configuration,Transformation step to adapt the output from PIHM to cycles in terms of the crop land,pihm_cropland_modelInfo,pihm_cropland_o,,,,,,mintproject/pihm:latest,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_cropland/run,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/GeneralDataPreparation/pihm_cropland/pihm_cropland.zip,,,,,,,,,,,,,,,,,
