https://w3id.org/okn/o/sdm#Process,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sdm#influences
pihm_precipitation_process,Precipitation,pihm_runoff_process;pihm_infiltration_process
pihm_solarradiation_process,Solar radiation,pihm_transpiration_process;pihm_evaporation_process
pihm_transpiration_process,Transpiration,pihm_infiltration_process;pihm_runoff_process
pihm_evaporation_process,Evaporation,pihm_infiltration_process;pihm_runoff_process
pihm_runoff_process,Runoff,
pihm_infiltration_process,Infiltration,pihm_runoff_process
crop_yield_elasticity_process,Crop yield elasticity,land_use_process;fertilizer_use_process;crop_yield_process
crop_prices_process,Crop prices,land_use_process;fertilizer_use_process
fertilizer_prices_process,Fertilizer prices,land_use_process;fertilizer_use_process
land_use_process,Land use,fertilizer_use_process;crop_supply_process;crop_yield_process
fertilizer_use_process,Fertilizer use,land_use_process;crop_yield_process
crop_supply_process,Crop supply,
crop_yield_process,Crop yield,crop_supply_process
cycles_precipitation_process,Precipitation,cycles_transpiration
cycles_solarradiation_process,Solar radiation ,cycles_transpiration_process;cycles_biomassgrowth_process
cycles_management_process,Management,cycles_biomassgrowth_process
cycles_transpiration_process,Transpiration,cycles_biomassgrowth_process;cycles_Nuptake_process
cycles_biomassgrowth_process,Biomass growth,cycles_transpiration_process;cycles_respiration_process;cycles_humification_process
cycles_Nuptake_process,Nitrogen uptake,cycles_Ntransport_process
cycles_respiration_process,Respiration,cycles_Nmineralizationandimmobalization_process
cycles_humification_process,Humification,cycles_Nmineralizationandimmobalization_process
cycles_Ntransport_process,Nitrogen transport,
cycles_Nmineralizationandimmobalization_process,Nitrogen mineralization and immobalization,cycles_Ntransport_process
cycles_cropGrowth,Crop growth,cycles_grain_yield
cycles_percolation,Percolation,cycles_no3_leaching;cycles_nh4_leaching;cycles_avg_nh4_leach;cycles_avg_no3_leach
constr_max_net_revenue_process,Constrained maximization of net revenue,
modflow_gwf,Ground water flow,
hand_dradown,Drawdown,
