https://w3id.org/okn/o/sd#Organization,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#name,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sd#identifier
nsf,National Science Foundation,National Science Foundation,https://www.nsf.gov/,https://www.wikidata.org/wiki/Q304878
darpa,Defense Advanced Research Projects Agency,Defense Advanced Research Projects Agency,https://www.darpa.mil/,https://www.wikidata.org/wiki/Q207361
texasU,Texas A&M University,Texas A&M University,https://www.tamu.edu/,https://www.wikidata.org/wiki/Q49212
penn_state_university,,,,
kimetrica,,,,
colorado_u,,,,
virginia_tech,,,,
usc,,,,
usda,USDA Agricultural Research Service (USDA-ARS) ,USDA Agricultural Research Service (USDA-ARS) ,,
tamu_agrilife,Texas A&M AgriLife Research,Texas A&M AgriLife Research,,
