https://w3id.org/okn/o/sd#SampleResource,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#dataCatalogIdentifier,https://w3id.org/okn/o/sd#value,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#hasPart
1021c9c0-ad75-4fa0-b3ba-c9177e5e686f,Travis county DEM,DEM for the county of Travis,,https://portals-api.tacc.utexas.edu/postits/v2/2e4357ddc2656376026a05309a2cb1d3,,
24502cd1-7d4b-44c1-84c7-3b341ca0af24,DEM-Young,Digital elevation model of the Young catchment (Texas) (n0),,https://portals-api.tacc.utexas.edu/postits/v2/83f0eee08d53549f2fbeef1a1a97e717,,
247e697b-26cb-4110-9f01-34aa8cd8851f,DEM- Hays #6,Digital elelvation model of the Hays catchment (6),,https://portals-api.tacc.utexas.edu/postits/v2/ca90d313b34709e17dec944a3a06c8b7,,
30e2da24-5998-4383-8c53-3d7e99c6e3e8,Example collection,Collection description,,,https://w3id.org/okn/o/sd#SampleCollection,56aaa191-38f2-4631-bc8e-921e535f52df;e2b20e3f-b66d-4f15-9d24-853a22455d7e
343ce3d6-eee1-4fd9-84a1-f4de813d162c,Example single file,DESC,,www.file2.com,,
3e645c1c-be59-4d23-866f-383aadd7204b,Some file,,,www.file.com,,
3fb643ca-3e93-40ed-850f-bf9e2372b859,Travis DEM,Digital elevation model of the Travis area - 10 m resolution,,https://github.com/dhardestylewis/HAND-TauDEM/raw/master/regions/Texas/Travis-10m/Travis-DEM-10m-HUC120902050408buf.tif,,
4595028d-4272-4bd8-a64e-c3b7065c18c8,DEM-Colorado (9),Digital elevation model for the Colorado catchment in Texas,,https://portals-api.tacc.utexas.edu/postits/v2/e521d72f155ea51af637ce445998d873,,
56aaa191-38f2-4631-bc8e-921e535f52df,File B,DESC B,,d.e.f,,
6e57d196-ff88-4ed3-973f-1a6eae95c29b,"Colorado Catchment, Texas",Basin in Texas,,	agave://pt2050.project.PT2050-68/GeoFlood/Tools/DEM preprocessing tools/preprocessing-DHL/data/TX-Counties-GeoFlood/Colorado/Elevation/TX-County-Colorado-Elevation-Catchment19.tif,,
83a18ae9-ed5f-4ef9-8000-ca37a4a63ee3,Travis County File from DataX,,,https://portals-api.tacc.utexas.edu/postits/v2/2e4357ddc2656376026a05309a2cb1d3,,
89b15b7f-1f01-453e-bbbb-45d4e8928b9b,asda,aasd,,https://portals-api.tacc.utexas.edu/postits/v2/2e4357ddc2656376026a05309a2cb1d3,,
92d05c56-98db-416f-89c9-fd8857baa317,123,1,,http://example.org;http://examp11le.org,,
a8c9bc9d-b308-4331-a8dd-5cb82cde71df,Travis County 10 meter DEM file - tiff format,,,https://portals-api.tacc.utexas.edu/postits/v2/2efc2c54aeada8d973b02b68011f80d3,,
